"TRIP_ID","TRIP_YEAR","EVENT_DATE","STRATUM","BLOCK_DESIGNATION","EVENT_TYPE","EVENT_NUMBER","TOW_NUMBER","DayNight","END_DEPLOYMENT_TIME","BEGIN_RETRIEVAL_TIME","START_LATITUDE","START_LONGITUDE","TARGET_HEADLINE_HEIGHT","MOUTH_OPENING_HEIGHT","AvgOfMOUTH_OPENING_HEIGHT","RBREstNetMouthHeight","OfficialMouthOpeningHeight","SPEED","DOOR_SPREAD","AvgOfDOOR_SPREAD","OfficialDoorspread","OFFICIAL_DISTANCE_TRAVELLED","horizontalOpen_m","AvgOfhorizontalOpen_m1","OfficialMouthOpeningWidth","OfficialVolSwept_m3","OfficialVolumeSwept_km3","USABILITY_CODE","CATCH_ID","SPECIES_CODE","TOTAL_CATCH_COUNT","JUVENILE_CATCH_COUNT","ADULT_CATCH_COUNT","TOTAL_CATCH_WEIGHT","JUVENILE_CATCH_WEIGHT","ADULT_CATCH_WEIGHT","TotalCatchWtCPUE_kg_km3","JuvCatchWtCPUE_kg_km3","JuvCatchCountCPUE_no_km3","JuvCatchCountCPUE_no_km"
123,2017,7/8/2017 0:00:00,505,11170,"midwater tow",1,1,"Day",7/8/2017 17:04:53,7/8/2017 17:24:02,51.07,-127.73,0,13.00,12.84,,13.00,4.70,,63.60,63.60,"1.39967506551705",,35.60,35.60,1199821.30,1.19982130634775e-03,1,9284,"124",4,1,3,3.82,0.16,3.66,3183.80,133.35,833.45,0.38
123,2017,7/8/2017 0:00:00,505,11170,"midwater tow",1,1,"Day",7/8/2017 17:04:53,7/8/2017 17:24:02,51.07,-127.73,0,13.00,12.84,,13.00,4.70,,63.60,63.60,"1.39967506551705",,35.60,35.60,1199821.30,1.19982130634775e-03,1,9280,"096",,,,0.86,,,716.77,0.00,0.00,0.00
123,2017,7/8/2017 0:00:00,505,11170,"midwater tow",1,1,"Day",7/8/2017 17:04:53,7/8/2017 17:24:02,51.07,-127.73,0,13.00,12.84,,13.00,4.70,,63.60,63.60,"1.39967506551705",,35.60,35.60,1199821.30,1.19982130634775e-03,1,9281,"108",1,1,0,0.02,0.02,0.00,16.66,16.66,833.45,0.38
123,2017,7/8/2017 0:00:00,505,11170,"midwater tow",1,1,"Day",7/8/2017 17:04:53,7/8/2017 17:24:02,51.07,-127.73,0,13.00,12.84,,13.00,4.70,,63.60,63.60,"1.39967506551705",,35.60,35.60,1199821.30,1.19982130634775e-03,1,9282,"112",147,144,3,19.51,4.98,14.53,16260.75,4150.61,120017.87,55.55
123,2017,7/8/2017 0:00:00,505,11170,"midwater tow",1,1,"Day",7/8/2017 17:04:53,7/8/2017 17:24:02,51.07,-127.73,0,13.00,12.84,,13.00,4.70,,63.60,63.60,"1.39967506551705",,35.60,35.60,1199821.30,1.19982130634775e-03,1,9283,"118",1,0,1,0.82,,,683.43,0.00,0.00,0.00
123,2017,7/8/2017 6:07:00,505,11041,"midwater tow",2,2,"Day",7/8/2017 19:33:28,7/8/2017 19:54:09,51.02,-127.99,0,13.00,12.84,,13.00,7.50,63.00,63.60,63.00,"1.3768898488121",35.31,35.60,35.31,1170526.54,1.1705265455246e-03,1,9290,"118",1,1,0,0.01,0.01,0.00,8.54,8.54,854.31,0.39
123,2017,7/8/2017 6:07:00,505,11041,"midwater tow",2,2,"Day",7/8/2017 19:33:28,7/8/2017 19:54:09,51.02,-127.99,0,13.00,12.84,,13.00,7.50,63.00,63.60,63.00,"1.3768898488121",35.31,35.60,35.31,1170526.54,1.1705265455246e-03,1,9289,"115",6,6,0,1.04,1.04,0.00,888.48,888.48,5125.89,2.35
123,2017,7/8/2017 6:07:00,505,11041,"midwater tow",2,2,"Day",7/8/2017 19:33:28,7/8/2017 19:54:09,51.02,-127.99,0,13.00,12.84,,13.00,7.50,63.00,63.60,63.00,"1.3768898488121",35.31,35.60,35.31,1170526.54,1.1705265455246e-03,1,9288,"112",136,134,2,16.68,3.17,13.51,14249.99,2708.18,114478.39,52.54
123,2017,7/8/2017 6:07:00,505,11041,"midwater tow",2,2,"Day",7/8/2017 19:33:28,7/8/2017 19:54:09,51.02,-127.99,0,13.00,12.84,,13.00,7.50,63.00,63.60,63.00,"1.3768898488121",35.31,35.60,35.31,1170526.54,1.1705265455246e-03,1,9287,"096",,,,1.55,,,1324.19,0.00,0.00,0.00
123,2017,7/8/2017 6:07:00,505,11041,"midwater tow",2,2,"Day",7/8/2017 19:33:28,7/8/2017 19:54:09,51.02,-127.99,0,13.00,12.84,,13.00,7.50,63.00,63.60,63.00,"1.3768898488121",35.31,35.60,35.31,1170526.54,1.1705265455246e-03,1,9291,"124",2,1,1,2.23,0.11,2.12,1905.12,93.97,854.31,0.39
